I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-19, -112, -92, 65, 36, -102, -19, -19, -43, -63, -39, -48, 
-19, -117, -97, 68, 39, -107, -19, -24, -43, -68, -39, -48, 
-19, -112, -92, 65, 36, -102, -19, -24, -48, -68, -39, -43, 
-19, -112, -92, 65, 36, -102, -24, -24, -58, -68, -39, -43, 
-14, -112, -97, 63, 41, -104, -29, -24, -68, -68, -39, -43, 
-14, -112, -97, 63, 41, -104, -29, -24, -63, -63, -39, -39, 
-14, -107, -92, 61, 39, -100, -24, -19, -48, -63, -39, -39, 
-9, -102, -92, 56, 41, -97, -19, -9, -39, -63, -39, -43, 
-14, -97, -82, 56, 34, -90, -24, -14, -29, -53, -39, -48, 
-19, -87, -68, 53, 24, -78, -19, -14, -24, -43, -39, -43, 
-19, -82, -63, 51, 21, -73, -14, -9, -19, -43, -29, -39, 
-19, -82, -63, 51, 21, -73, -9, -9, -24, -48, -24, -39, 
-14, -82, -68, 48, 26, -75, -4, -9, -24, -43, -29, -39, 
-9, -73, -63, 41, 26, -68, 4, -9, -29, -43, -24, -34, 
-9, -73, -63, 41, 26, -68, 19, 0, -24, -39, -19, -29, 
-9, -73, -63, 41, 26, -68, 24, 4, -14, -34, -14, -29, 
-4, -68, -63, 36, 29, -65, 19, 4, -4, -34, -19, -29, 
-9, -68, -58, 39, 24, -63, 9, 4, -9, -34, -19, -29, 
-9, -63, -53, 36, 21, -58, 9, 4, -9, -29, -19, -24, 
-4, -63, -58, 34, 26, -61, 9, 4, -4, -24, -14, -24, 
0, -63, -63, 31, 31, -63, 9, 4, -4, -29, -14, -24, 
0, -63, -63, 31, 31, -63, 14, 4, -9, -34, -14, -24, 
-4, -53, -48, 29, 21, -51, 24, 4, -14, -34, -9, -29, 
-4, -53, -48, 29, 21, -51, 29, 9, -4, -24, -9, -24, 
0, -53, -53, 26, 26, -53, 39, 24, 4, -14, -4, -24, 
-4, -48, -43, 26, 19, -46, 34, 24, 4, -14, -9, -29, 
-9, -43, -34, 26, 12, -39, 29, 14, 4, -24, -9, -24, 
-9, -48, -39, 29, 14, -43, 24, 9, 4, -29, -14, -29, 
-9, -39, -29, 24, 9, -34, 19, 0, 4, -29, -19, -34, 
-4, -9, -4, 7, 0, -7, 9, -4, 0, -24, -24, -34, 
0, 0, 0, 0, 0, 0, -4, -14, -4, -29, -24, -34, 
4, -4, -9, 0, 7, -7, -24, -24, -14, -39, -19, -39, 
4, 0, -4, -2, 4, -2, -39, -39, -19, -39, -14, -34, 
0, -4, -4, 2, 2, -4, -43, -48, -24, -34, -14, -29, 
0, -4, -4, 2, 2, -4, -39, -48, -24, -34, -19, -34, 
-4, 0, 4, 2, -4, 2, -39, -39, -19, -34, -9, -29, 
-14, -4, 9, 9, -12, 2, -43, -39, -19, -34, -9, -34, 
-14, -9, 4, 12, -9, -2, -39, -43, -14, -29, -4, -29, 
-9, 0, 9, 4, -9, 4, -39, -39, -9, -24, 4, -19, 
-4, 9, 14, -2, -9, 12, -34, -34, -9, -24, 4, -19, 
0, 9, 9, -4, -4, 9, -14, -29, -9, -29, 4, -19, 
9, 14, 4, -12, 2, 9, -19, -29, -9, -29, 0, -19, 
14, 14, 0, -14, 7, 7, -39, -29, -4, -24, 0, -14, 
19, 9, -9, -14, 14, 0, -43, -34, -4, -19, 9, -9, 
29, 4, -24, -17, 26, -9, -43, -39, -24, -24, 4, -9, 
29, -4, -34, -12, 31, -19, -48, -53, -43, -39, -4, -14, 
24, -14, -39, -4, 31, -26, -48, -58, -48, -48, -9, -19, 
19, -39, -58, 9, 39, -48, -48, -58, -58, -48, -14, -14, 
19, -58, -78, 19, 48, -68, -43, -53, -63, -48, -9, -9, 
19, -63, -82, 21, 51, -73, -43, -43, -48, -48, -9, -14, 
9, -63, -73, 26, 41, -68, -43, -43, -43, -48, -19, -19, 
0, -73, -73, 36, 36, -73, -43, -43, -58, -48, -29, -19, 
-4, -82, -78, 43, 36, -80, -39, -43, -53, -43, -29, -24, 
-19, -97, -78, 58, 29, -87, -29, -34, -53, -43, -34, -34, 
-34, -107, -73, 70, 19, -90, -19, -34, -63, -53, -39, -43, 
-34, -117, -82, 75, 24, -100, -34, -39, -73, -73, -43, -53, 
-29, -122, -92, 75, 31, -107, -39, -48, -82, -78, -43, -53, 
-24, -126, -102, 75, 39, -114, -43, -48, -87, -82, -48, -53, 
-34, -126, -92, 80, 29, -109, -43, -48, -87, -82, -53, -48, 
